//é¸îgêî[Hz],w[rad/s],I[mA],Z[É∂],É∆[rad],Imath[mA],,w[rad/s],I[mA],Z[É∂],É∆[rad],Imath[mA],,C[É F],I[mA],Imath[mA]
500,3141.592654,0.1561,6406.149904,-1.409981591,0.14817242,,3141.592654,0.15595,6412.311638,-1.272489439,0.143373965,,0.001,0.0819,0.082062195
600,3769.911184,0.1852,5399.568035,-1.374495423,0.178068343,,3769.911184,0.1782,5611.672278,-1.215032975,0.169913663,,0.002,0.1942,0.199309229
800,5026.548246,0.2524,3961.965135,-1.313081995,0.238267045,,5026.548246,0.23125,4324.324324,-1.103584846,0.219717241,,0.003,0.3483,0.369449652
1000,6283.185307,0.3244,3082.614057,-1.235142169,0.299066467,,6283.185307,0.2865,3490.401396,-0.997441145,0.264624487,,0.004,0.549,0.601487902
2000,12566.37061,0.635,1574.80315,-0.853252149,0.606917546,,12566.37061,0.4225,2366.863905,-0.554613404,0.414705152,,0.005,0.768,0.838513351
3000,18849.55592,0.863,1158.748552,-0.434023164,0.861889675,,18849.55592,0.4735,2111.932418,-0.236400824,0.474260801,,0.006,0.914,0.949482557
3500,21991.14858,0.922,1084.598698,-0.230123199,0.931004313,,21991.14858,0.488,2049.180328,-0.110171868,0.484871075,,0.007,0.947,0.924313862
4000,25132.74123,0.946,1057.082452,0.031701849,0.952471664,,25132.74123,0.489,2044.989775,0,0.487828675,,0.008,0.91,0.853686463
4500,28274.33388,0.941,1062.699256,0.14040896,0.935665476,,28274.33388,0.4875,2051.282051,0.097202008,0.48552593,,0.009,0.852,0.785353861
5000,31415.92654,0.897,1114.827202,0.340691459,0.895352579,,31415.92654,0.485,2061.85567,0.183745056,0.479616722,,0.01,0.801,0.729556749
6000,37699.11184,0.825,1212.121212,0.554995727,0.79057346,,37699.11184,0.469,2132.196162,0.331454178,0.461276222,,0.02,0.575,0.521488979
8000,50265.48246,0.648,1543.209877,0.852253024,0.606917546,,50265.48246,0.433,2309.468822,0.554613404,0.414705152,,0.03,0.517,0.470924352
10000,62831.85307,0.521,1919.385797,1.018283429,0.484339961,,62831.85307,0.3875,2580.645161,0.714428959,0.36853871,,0.04,0.492,0.448614716
20000,125663.7061,0.2631,3800.836184,1.307047184,0.238267045,,125663.7061,0.2405,4158.004158,1.103584846,0.219717241,,0.05,0.477,0.43608067
30000,188495.5592,0.1722,5807.200929,1.397877913,0.15812405,,188495.5592,0.165,6060.606061,1.253221778,0.152330998,,0.06,0.4661,0.428057441
40000,251327.4123,0.1284,7788.161994,1.442524097,0.118391721,,251327.4123,0.1285,7782.101167,1.330917733,0.115900628,,0.07,0.4614,0.422482872
50000,314159.2654,0.1025,9756.097561,1.468602302,0.094637165,,314159.2654,0.0124,8064.516129,1.378250165,0.093350223,,0.08,0.4512,0.418384938
60000,376991.1184,0.0844,11848.34123,1.487029416,0.07882944,,376991.1184,0.0853,11723.32943,1.410046644,0.078081013,,0.09,0.4532,0.415245766
80000,502654.8246,0.061,16393.44262,1.510533084,0.059095891,,502654.8246,0.06175,16194.33198,1.450012623,0.058778593,,0.1,0.4511,0.412764228
100000,628318.5307,0.0464,21551.72414,1.524614048,0.047266964,,628318.5307,0.0454,22026.43172,1.474086879,0.047104136,,0.15,0.4406,0.405474904
,,,,,,,,,,,,,0.2,0.4372,0.401915495
